Drug	Drug_id	RELATION	PROVENANCE	Gene	Gene_id
Pharmacologic Substance	C1254351	STIMULATES	["24675225_fullText_11"]	PPARGC1A gene	C1418779
Pharmacologic Substance	C1254351	compared_with	["15504352_fullText_4"]	ATXN3 gene	C1538301
Serine	C0036720	PART_OF	["25135935_fullText_120"]	MAGT1 gene	C2239666
Serine	C0036720	PART_OF	["32867169_fullText_60"]	MT-CO3 gene	C1537987
Serine	C0036720	STIMULATES	["33749324_fullText_5"]	PRRT2 wt Allele	C3539645
Interferons	C0021747	INHIBITS	["35406718_fullText_207"]	NGLY1 gene	C1425023
Adenosine	C0001443	COEXISTS_WITH	["36445101_fullText_2","36445101_fullText_11"]	NLRP1 wt Allele	C3538756
Adenosine	C0001443	INHIBITS	["35182571_fullText_7"]	PROTEIN S, BETA	C1867626
Anti-Anxiety Agents	C0040616	COEXISTS_WITH	["34568977_fullText_5"]	TCF4 gene	C1420639
licochalcone A	C0125821	STIMULATES	["24675225_fullText_7"]	PPARGC1A gene	C1418779
licochalcone A	C0125821	STIMULATES	["24675225_fullText_7"]	SOD2 gene	C1420307
licochalcone A	C0125821	STIMULATES	["24675225_fullText_7"]	Candidate Disease Gene	C1332838
licochalcone A	C0125821	STIMULATES	["24675225_fullText_7"]	CYCS gene	C1426584
Sodium Chloride	C0037494	PART_OF	["22578804_fullText_7"]	GCDH gene	C1415009
Sodium Chloride	C0037494	STIMULATES	["36822333_fullText_6"]	PRKAA2 gene	C1418898
Sodium Chloride	C0037494	compared_with	["35870169_fullText_1"]	UPP1 gene	C1421363
Sodium Chloride	C0037494	compared_with	["34106688_fullText_6"]	NPS gene	C1836075
Glutamic Acid	C0061472	PART_OF	["24708131_fullText_4"]	MT-TA gene	C1537998
Glutamic Acid	C0061472	COEXISTS_WITH	["24299452_fullText_85"]	TXN2 gene	C1456398
Sulfhydryl Compounds	C0038734	COEXISTS_WITH	["25135935_fullText_141"]	TSPO gene	C1823521
agonists	C0243192	COEXISTS_WITH	["36631757_fullText_2"]	CFP gene	C1418482
agonists	C0243192	INHIBITS	["37509114_fullText_3"]	MAOB gene	C1417002
agonists	C0243192	INHIBITS	["36473517_fullText_10"]	DRD2 gene	C1333253
agonists	C0243192	INTERACTS_WITH	["33761251_fullText_4","36080443_fullText_3"]	CBR1 gene	C1413154
agonists	C0243192	STIMULATES	["35429668_fullText_5"]	ARRB2 gene	C1412552
agonists	C0243192	STIMULATES	["37331921_fullText_4"]	EEF1B2P2 gene	C1414290
agonists	C0243192	STIMULATES	["34118232_fullText_1"]	OPRK1 gene	C1417963
agonists	C0243192	STIMULATES	["34486749_fullText_3","34537380_fullText_7"]	CNR2 gene	C1413555
Iron	C0302583	INHIBITS	["30373601_fullText_11"]	NDUFB3 gene	C1417635
Iron	C0302583	STIMULATES	["8995386_fullText_7"]	DMPK gene	C1414085
opium alkaloids and derivative combination cough suppressants	C3539957	COEXISTS_WITH	["8789765_fullText_9"]	AKR1A1 wt Allele	C3715044
opium alkaloids and derivative combination cough suppressants	C3539957	INHIBITS	["34186142_fullText_8"]	BTK gene	C1412841
Insulin	C0021641	STIMULATES	["28915272_fullText_101"]	IRS1 gene	C1334140
Dithiothreitol	C0012789	COEXISTS_WITH	["21737679_fullText_41","21737679_fullText_123","21737679_fullText_135"]	ELF4 gene	C1414377
Dithiothreitol	C0012789	STIMULATES	["36128717_fullText_36"]	LOR gene	C1416897
Dithiothreitol	C0012789	STIMULATES	["21737679_fullText_39"]	SLC35G5 gene	C3469830
Dithiothreitol	C0012789	STIMULATES	["21737679_fullText_176"]	EIF2S1 wt Allele	C3539639
Air	C3536832	COEXISTS_WITH	["37770252_fullText_81","30520688_fullText_65","30520688_fullText_72","30520688_fullText_77"]	NDUFS4 gene	C1417647
Air	C3536832	COEXISTS_WITH	["37770252_fullText_87"]	LPO gene	C1416903
Air	C3536832	compared_with	["33752971_fullText_4"]	NDUFS4 gene	C1417647
Methionine	C0025646	PART_OF	["31959065_abstract_4"]	MGLL gene	C1442515
Methionine	C0025646	PART_OF	["28062662_fullText_7","21904051_fullText_60"]	GCDH gene	C1415009
Methionine	C0025646	COEXISTS_WITH	["38870029_fullText_61"]	AKR1A1 wt Allele	C3715044
Vitamin K 3	C0025270	STIMULATES	["27510504_fullText_3"]	GCDH gene	C1415009
Glucose	C0017725	PART_OF	["10852476_fullText_1"]	Genes, Microbial	C3658343
Glucose	C0017725	PART_OF	["33933677_fullText_4"]	PPARA gene	C1418776
Glucose	C0017725	PART_OF	["33933677_fullText_4"]	UCP1 gene	C1421313
Glucose	C0017725	COEXISTS_WITH	["32048023_abstract_9"]	AMD1 wt Allele	C3539530
Glucose	C0017725	COEXISTS_WITH	["34106226_fullText_58"]	AKR1A1 wt Allele	C3715044
Glucose	C0017725	COEXISTS_WITH	["35665995_fullText_65"]	GMPPA gene	C1539585
Glucose	C0017725	COEXISTS_WITH	["22956764_fullText_107"]	Alleles	C0002085
Morphine	C0026549	STIMULATES	["37097605_fullText_7"]	IMPACT gene	C1825598
Morphine	C0026549	STIMULATES	["34935460_fullText_3"]	CNR1 gene	C1413554
Today	C0310367	compared_with	["22838182_fullText_4"]	PMM2 gene	C1418674
Today	C0310367	higher_than	["22838182_fullText_4"]	PMM2 gene	C1418674
Lactate	C0376261	STIMULATES	["25807530_fullText_4"]	MTSS1 gene	C1426941
Lactate	C0376261	STIMULATES	["30995105_fullText_4"]	PDK1 wt Allele	C3541424
Polyethylene Glycols	C0032483	STIMULATES	["33743737_fullText_12"]	PMM2 gene	C1418674
Fluoxetine	C0016365	COEXISTS_WITH	["29395672_fullText_8"]	DOK7 gene	C1824957
Fluoxetine	C0016365	INHIBITS	["36599005_fullText_8"]	SLC6A4 gene	C1420214
Fluoxetine	C0016365	STIMULATES	["35977861_fullText_6"]	PENK gene	C1418457
Dimethyl Sulfoxide	C0012403	INHIBITS	["34329671_fullText_5"]	HCRTR2 gene	C1415502
Dimethyl Sulfoxide	C0012403	INHIBITS	["34329671_fullText_5","36736068_fullText_5"]	HCRTR1 gene	C1415501
Glycerin	C0017861	PART_OF	["25633985_fullText_111"]	TSPO gene	C1823521
trimethyloxamine	C0077194	COEXISTS_WITH	["35055180_fullText_120"]	FMO3 gene	C1414645
Hypnotics	C0020591	INHIBITS	["34210446_fullText_4","37218390_fullText_6","37218390_fullText_8"]	HCRTR2 gene	C1415502
Norepinephrine	C0028351	COEXISTS_WITH	["34755639_fullText_6"]	PINK1 gene	C1422771
Norepinephrine	C0028351	COEXISTS_WITH	["34197000_fullText_7"]	GRIA1 gene	C1415287
Ethidium Bromide	C0019873	COEXISTS_WITH	["23873129_fullText_97"]	CLCN1 gene	C1413450
Ethidium Bromide	C0019873	compared_with	["30135079_fullText_18"]	NGLY1 gene	C1425023
Tyrosine	C0041485	COEXISTS_WITH	["24028903_fullText_2","23673571_fullText_1","15369715_fullText_5"]	LRP2 wt Allele	C3811119
Tyrosine	C0041485	STIMULATES	["25333616_fullText_55"]	BCL2 gene	C0376515
Biopterin	C0005562	COEXISTS_WITH	["21416196_fullText_3","21416196_fullText_7"]	LRP2 wt Allele	C3811119
Biopterin	C0005562	COEXISTS_WITH__SPEC__	["21416196_fullText_3"]	LRP2 wt Allele	C3811119
Immune Sera	C0020960	PRODUCES	["9579395_fullText_3"]	DMPK gene	C1414085
Pyruvate	C0244104	PART_OF	["30429455_fullText_0"]	NDUFS8 gene	C1417651
Folate	C0178638	INHIBITS	["30373601_fullText_11"]	NDUFB3 gene	C1417635
Urea	C0041942	INHIBITS	["31454904_fullText_24"]	PMM2 gene	C1418674
Urea	C0041942	STIMULATES	["26488408_fullText_134"]	Wild Type	C1883559
Clofibrate	C0009002	COEXISTS_WITH	["32070771_fullText_9","34849584_fullText_242"]	NDUFS4 gene	C1417647
Clofibrate	C0009002	INTERACTS_WITH	["32070771_fullText_6","34849584_fullText_232"]	NDUFS4 gene	C1417647
NADH	C0027289	PART_OF	["25164807_fullText_80"]	MT-ND3 gene	C1537991
NADH	C0027289	PART_OF	["35217561_fullText_2"]	MT-ND1 gene	C1537989
NADH	C0027289	PART_OF	["33182419_fullText_4"]	NDUFV1 gene	C1417652
NADH	C0027289	COEXISTS_WITH	["38177503_fullText_19"]	Wild Type	C1883559
NADH	C0027289	INHIBITS	["30520688_fullText_121"]	NDUFS4 gene	C1417647
Galactose	C0016945	PART_OF	["32080367_fullText_86"]	TMEM165 gene	C1823430
Galactose	C0016945	PART_OF	["32080367_fullText_86"]	SLC39A8 gene	C1427169
Galactose	C0016945	COEXISTS_WITH	["30429455_fullText_37"]	CTF1 gene	C1332801
Galactose	C0016945	COEXISTS_WITH	["29112118_fullText_5","24997537_fullText_16","38968673_fullText_14"]	PGM1 gene	C1418516
Galactose	C0016945	STIMULATES	["33743737_fullText_12"]	PMM2 gene	C1418674
Galactose	C0016945	STIMULATES	["28777499_fullText_4"]	ICAM1 gene	C1334074
Valine	C0042285	COEXISTS_WITH	["10746566_fullText_6"]	Alleles	C0002085
Megestrol	C0025175	COEXISTS_WITH	["31996177_fullText_48"]	MT-ND5 gene	C1537994
Sugars	C0242209	COEXISTS_WITH	["21737679_fullText_119"]	ERN1 gene	C1414444
Ubiquinone	C0041536	compared_with	["11420171_fullText_4"]	Wild Type	C1883559
Blood lactate	C3824990	COEXISTS_WITH	["37770252_fullText_87"]	NDUFS4 gene	C1417647
Blood lactate	C3824990	higher_than	["35050903_fullText_29"]	HNRNPD wt Allele	C3540626
Blood lactate	C3824990	compared_with	["35050903_fullText_29"]	HNRNPD wt Allele	C3540626
Polysaccharides	C0032594	COEXISTS_WITH	["29497882_fullText_46"]	MAN1B1 gene	C1416994
Polysaccharides	C0032594	COEXISTS_WITH	["30135079_fullText_0"]	NGLY1 gene	C1425023
Polysaccharides	C0032594	COEXISTS_WITH	["29497882_fullText_45"]	ALG1 gene	C1425428
Polysaccharides	C0032594	COEXISTS_WITH	["21737679_fullText_43","21737679_fullText_51"]	ELF4 gene	C1414377
Polysaccharides	C0032594	COEXISTS_WITH	["29497882_fullText_30"]	PGM1 gene	C1418516
Polysaccharides	C0032594	COEXISTS_WITH	["29497882_fullText_32","35279850_fullText_112","22956764_fullText_102"]	PMM2 gene	C1418674
Polysaccharides	C0032594	COEXISTS_WITH	["29497882_fullText_45","38597022_fullText_7"]	MGAT2 gene	C1417134
Polysaccharides	C0032594	COEXISTS_WITH	["11680873_fullText_4"]	GYPA gene	C1367455
Polysaccharides	C0032594	COEXISTS_WITH	["36357165_fullText_5"]	MAN2A2 gene	C1416996
Polysaccharides	C0032594	INHIBITS	["30701557_fullText_8"]	VWF gene	C1336938
Polysaccharides	C0032594	STIMULATES	["27343064_fullText_164"]	DHDDS gene	C1427027
Polysaccharides	C0032594	STIMULATES	["35565658_fullText_176"]	NFE2L1 gene	C1417700
Polysaccharides	C0032594	compared_with	["33076454_fullText_29"]	SLC35A2 gene	C1420188
Polysaccharides	C0032594	higher_than	["33076454_fullText_29"]	SLC35A2 gene	C1420188
Polysaccharides	C0032594	CONVERTS_TO	["21737679_fullText_51"]	KCNMA1 gene	C1416602
Glycome	C2348869	COEXISTS_WITH	["33644825_fullText_8"]	PDCD6 gene	C1418406
acylcarnitine	C0368608	COEXISTS_WITH	["32872442_fullText_6","21431622_fullText_171"]	LRP2 wt Allele	C3811119
Nicotinamide adenine dinucleotide (NAD)	C0027270	PART_OF	["36745337_fullText_6"]	SIRT1 gene	C1423062
Nicotinamide adenine dinucleotide (NAD)	C0027270	COEXISTS_WITH	["33752971_fullText_7","34849584_fullText_239","30520688_fullText_92"]	NDUFS4 gene	C1417647
Nicotinamide adenine dinucleotide (NAD)	C0027270	INHIBITS	["30520688_fullText_121"]	NDUFS4 gene	C1417647
Nicotinamide adenine dinucleotide (NAD)	C0027270	STIMULATES	["30816177_fullText_5"]	HIF1A wt Allele	C1704838
Doxycycline	C0013090	STIMULATES	["24039817_fullText_82"]	Transgenes	C0282641
Acetylcysteine	C0001047	INHIBITS__SPEC__	["34171359_fullText_5"]	CYP1A1 gene	C0919425
Arginine	C0003765	STIMULATES	["25333616_fullText_55"]	BCL2 gene	C0376515
Arginine	C0003765	INTERACTS_WITH__SPEC__	["16765994_fullText_7"]	PAH gene	C1418251
Fatty Acids	C0015684	STIMULATES	["34192547_fullText_7"]	PPARA gene	C1418776
Thiamine	C0039840	COEXISTS_WITH	["26657515_fullText_4","23469184_fullText_90"]	SLC19A3 gene	C1424138
Thioctic Acid	C0023791	CONVERTS_TO	["24341803_fullText_8"]	LIPT1 gene	C1428876
Rotenone	C0035871	COEXISTS_WITH	["34849584_fullText_163"]	NDUFS4 gene	C1417647
Rotenone	C0035871	STIMULATES	["39231983_fullText_304"]	MPG gene	C1417239
malate	C0220873	PART_OF	["26824698_fullText_57"]	Wild Type	C1883559
Succinates	C0038617	COEXISTS_WITH	["30520688_fullText_88"]	NDUFS4 gene	C1417647
Lactic acid	C0064582	COEXISTS_WITH	["21431621_fullText_189"]	PYCR1 gene	C1419152
Lactic acid	C0064582	COEXISTS_WITH	["21431621_fullText_189"]	ALDH18A1 gene	C1538262
Carnitine	C0007258	COEXISTS_WITH	["28677031_fullText_5","28677031_fullText_6","28677031_fullText_8","28677031_fullText_10","37189159_fullText_180","37189159_fullText_186"]	LRP2 wt Allele	C3811119
Hydroxybutyrates	C0020332	STIMULATES	["26565911_fullText_4"]	Retinoic Acid Response Element	C1514917
Succinic Acid	C0075429	COEXISTS_WITH	["30520688_fullText_128"]	NDUFS4 gene	C1417647
Baclofen	C0004609	INHIBITS	["34607587_fullText_4"]	UBD gene	C1425779
Baclofen	C0004609	STIMULATES	["35253214_fullText_9"]	GABRQ gene	C1422662
Scopolamine	C0036442	COEXISTS_WITH	["36112867_fullText_4"]	SAA4 gene	C1419802
Scopolamine	C0036442	COEXISTS_WITH	["34830164_fullText_10"]	CFP gene	C1418482
Scopolamine	C0036442	COEXISTS_WITH	["34885751_fullText_4"]	STX2 gene	C1823140
Adrenal Cortex Hormones	C0001617	STIMULATES	["33926177_fullText_1"]	NEUROD1 gene	C1417683
Propranolol	C0033497	STIMULATES	["34145181_fullText_6"]	CASP3 gene	C1413132
Lipopolysaccharides	C0023810	STIMULATES	["36810148_fullText_8"]	SLC5A7 gene	C1422359
Isoflurane	C0022180	COEXISTS_WITH	["37770252_fullText_22","37770252_fullText_38","37770252_fullText_63","37770252_fullText_73","37770252_fullText_99","37770252_fullText_106","37770252_fullText_116"]	NDUFS4 gene	C1417647
Sulfur	C0038774	COEXISTS_WITH	["21696386_fullText_7"]	NDUFV1 gene	C1417652
Reduced Glutathione	C0034917	COEXISTS_WITH__SPEC__	["34425116_fullText_9"]	MDFIC gene	C1537673
Buthionine Sulfoximine	C0054252	INTERACTS_WITH	["34110719_fullText_5","34110719_fullText_6"]	EIF4E wt Allele	C3539643
Antiepileptic Agents	C0003299	COEXISTS_WITH	["17721876_fullText_1"]	ALDH7A1 gene	C1412691
Antiepileptic Agents	C0003299	STIMULATES	["35163968_fullText_1"]	CNR1 gene	C1413554
perampanel	C2698764	STIMULATES	["34080030_fullText_10"]	PTEN gene	C0694888
Phospholipids	C0031676	COEXISTS_WITH	["30446579_fullText_63"]	TSPO gene	C1823521
olanzapine	C0171023	INHIBITS	["34509568_fullText_9"]	CDK9 gene	C1413290
olanzapine	C0171023	STIMULATES	["33830427_fullText_7"]	SRI gene	C1420401
Plasmalogens	C0032133	COEXISTS_WITH	["20959636_fullText_2"]	PHEX gene	C1418526
ubiquinone 9	C0077664	COEXISTS_WITH	["38177503_fullText_120"]	NDUFS4 gene	C1417647
Long chain fatty acid	C0522095	COEXISTS_WITH	["27090541_fullText_3"]	PEX1 gene	C1418469
Copper	C0009968	COEXISTS_WITH	["32216104_fullText_13"]	ATP7A gene	C1412688
Copper	C0009968	COEXISTS_WITH	["32216104_fullText_13"]	ATP7B gene	C1412689
Copper	C0009968	INHIBITS	["37999884_fullText_7"]	BAX gene	C0812198
Isoleucine	C0022192	COEXISTS_WITH	["23412862_fullText_4"]	LRP2 wt Allele	C3811119
Vigabatrin	C0048044	COEXISTS_WITH	["38703411_fullText_10"]	ALG13 gene	C1823172
3-Hydroxyanthranilic Acid	C0000407	STIMULATES	["26565911_fullText_4"]	Retinoic Acid Response Element	C1514917
limited use	C3241999	COEXISTS_WITH	["26940433_fullText_2"]	PMM2 gene	C1418674
Alar	C0702172	COEXISTS_WITH	["28281558_fullText_8"]	PEX19 gene	C1419147
Analgesics	C0002771	STIMULATES	["36443270_fullText_1"]	HIF1A wt Allele	C1704838
Oligomycins	C0028951	STIMULATES	["39231983_fullText_304"]	MPG gene	C1417239
Hot Spot	C2947985	COEXISTS_WITH	["2883110_fullText_6"]	PAH gene	C1418251
Organic acids, Gynecological	C3541407	COEXISTS_WITH	["16573641_fullText_2"]	GCDH gene	C1415009
pentamethylmelamine	C0070302	COEXISTS_WITH	["11715002_fullText_3","11156536_fullText_9"]	PMM2 gene	C1418674
pentamethylmelamine	C0070302	CONVERTS_TO	["27053713_fullText_75"]	Alleles	C0002085
Sucrose	C0038636	PART_OF	["23118342_fullText_111"]	DSG1 gene	C1414168
Sucrose	C0038636	COEXISTS_WITH	["33771987_fullText_288","20959636_fullText_165"]	TSPO gene	C1823521
Formaldehyde	C0016564	COEXISTS_WITH	["25135935_fullText_159","23637619_fullText_69"]	TSPO gene	C1823521
Ketamine	C0022614	STIMULATES	["33904412_fullText_7"]	DRD1 gene	C1333250
Midazolam	C0026056	COEXISTS_WITH	["33862061_fullText_4"]	ETM2 gene	C1414475
Midazolam	C0026056	COEXISTS_WITH	["35802656_fullText_6"]	BCHE gene	C1412756
Tetrasaccharide	C0556151	COEXISTS_WITH__SPEC__	["29497882_fullText_45"]	ALG1 gene	C1425428
Tetrasaccharide	C0556151	COEXISTS_WITH	["35279850_fullText_41"]	PDCD6 gene	C1418406
Tetrasaccharide	C0556151	COEXISTS_WITH	["29497882_fullText_32"]	PMM2 gene	C1418674
Bupropion	C0085208	COEXISTS_WITH	["36073843_fullText_1"]	FXYD1 gene	C1414874
Antipsychotic Agents	C0040615	INHIBITS	["36768393_fullText_3"]	HTR7 gene	C1415816
Antipsychotic Agents	C0040615	INHIBITS	["36150811_fullText_4","37243798_fullText_1","37413718_fullText_1"]	HCRTR2 gene	C1415502
Methylamines	C0025719	CONVERTS_TO	["34830164_fullText_9"]	IMPACT gene	C1825598
N-Methylaspartate	C0079883	STIMULATES	["27091224_fullText_3"]	RAC1 gene	C1419227
Aspirin	C0004057	COEXISTS_WITH	["35849918_fullText_1"]	P2RY12 gene	C1425330
Memantine	C0025242	STIMULATES	["34474083_fullText_5"]	PISD gene	C1418591
Cannabidiol	C0006863	COEXISTS_WITH	["39231983_fullText_150"]	SLC3A2 gene	C1420192
Cannabidiol	C0006863	INHIBITS	["39231983_fullText_138"]	ROS1 wt Allele	C1709820
Cannabidiol	C0006863	INHIBITS	["39231983_fullText_41"]	GAD2 gene	C1414926
Cannabidiol	C0006863	STIMULATES	["39231983_fullText_166"]	SLC3A2 gene	C1420192
Cannabidiol	C0006863	STIMULATES	["39231983_fullText_71"]	CNR1 gene	C1413554
Carbidopa	C0006982	COEXISTS_WITH	["34717235_fullText_1"]	CBS gene	C1439329
Carbidopa	C0006982	INHIBITS	["36153039_fullText_7"]	DSE gene	C1427359
Carbidopa	C0006982	INHIBITS	["34439801_fullText_5"]	HCRTR1 gene	C1415501
Carbidopa	C0006982	INHIBITS	["36780161_fullText_6"]	STRA13 gene	C1420488
Carbidopa	C0006982	INHIBITS	["35976913_fullText_8"]	CSN2 gene	C1384512
Carbidopa	C0006982	STIMULATES	["36153039_fullText_9"]	S1PR3 gene	C1414255
Carbidopa	C0006982	compared_with	["36780161_fullText_5"]	STRA13 gene	C1420488
Triazines	C0040877	INHIBITS	["35228010_fullText_1"]	HTR6 gene	C1415815
Amines	C0002508	COEXISTS_WITH	["37630420_fullText_1"]	MAOB gene	C1417002
Amines	C0002508	INHIBITS	["35790065_fullText_5"]	MBNL1 gene	C1417055
Histamine	C0019588	PART_OF	["35163302_fullText_2"]	HRH4 gene	C1424950
Histamine	C0019588	STIMULATES	["34709518_fullText_5"]	MUC5AC gene	C1417497
MK-801	C0813872	INHIBITS	["37196827_fullText_5"]	HCRTR2 gene	C1415502
NMDA receptor antagonist	C0598695	INHIBITS	["34929317_fullText_9"]	UBD gene	C1425779
Antidepressive Agents	C0003289	COEXISTS_WITH	["34568977_fullText_5"]	TCF4 gene	C1420639
Antidepressive Agents	C0003289	INHIBITS	["36150811_fullText_4"]	HCRTR2 gene	C1415502
Antidepressive Agents	C0003289	INHIBITS	["34548628_fullText_1"]	SLC6A4 gene	C1420214
monoamine	C0599682	COEXISTS_WITH	["25274592_fullText_2"]	ALDH7A1 gene	C1412691
Glycopyrrolate	C0017970	COEXISTS_WITH	["37428619_fullText_7"]	LAMA1 gene	C1416775
Sorbitol	C0037688	COEXISTS_WITH	["34652821_fullText_12"]	PMM2 gene	C1418674
Cyclodextrins	C0010558	STIMULATES	["34601389_fullText_4"]	TSPO gene	C1823521
Adrenergic beta-Antagonists	C0001645	INHIBITS	["35672114_fullText_5"]	MSLN gene	C1334533
Adrenergic beta-Antagonists	C0001645	STIMULATES	["36687509_fullText_3"]	AKR1A1 wt Allele	C3715044
1,2-dilinolenoyl-3-(4-aminobutyryl)propane-1,2,3-triol	C0634829	COEXISTS_WITH	["35697777_fullText_1"]	P2RY12 gene	C1425330
TCS OX2 29	C3492123	INHIBITS	["33974952_fullText_4","36436175_fullText_5"]	HCRTR1 gene	C1415501
TCS OX2 29	C3492123	INHIBITS	["34320521_fullText_7","34718063_fullText_3"]	HCRTR2 gene	C1415502
TCS OX2 29	C3492123	INHIBITS	["35988849_fullText_4"]	OXR1 gene	C1423755
Carbachol	C0006945	COEXISTS_WITH	["34724104_fullText_7"]	MSN gene	C1417371
Nicotine	C0028040	COEXISTS_WITH	["33946328_fullText_7"]	LHB gene	C1416842
amsonic acid	C0051767	COEXISTS_WITH	["35095761_fullText_3"]	DRD2 wt Allele	C1707622
Adrenergic Antagonists	C0242889	compared_with	["35751619_fullText_6"]	KRT5 wt Allele	C3810570
Adrenergic Antagonists	C0242889	higher_than	["35751619_fullText_6"]	KRT5 wt Allele	C3810570
Metoprolol	C0025859	INHIBITS	["34800264_fullText_9"]	TP53 gene	C0079419
Metoprolol	C0025859	INHIBITS	["34800264_fullText_8"]	IFNAR1 wt Allele	C1708407
Metoprolol	C0025859	STIMULATES	["34529122_fullText_8"]	ACE gene	C1413931
Metoprolol	C0025859	STIMULATES	["35011613_fullText_5"]	HMOX1 gene	C1415619
mirabegron	C2983812	INHIBITS	["34471171_fullText_10"]	AGTR1 gene	C1439284
mirabegron	C2983812	STIMULATES	["36422657_fullText_1"]	EEF1B2P2 gene	C1414290
Paclitaxel	C0144576	STIMULATES	["33932119_fullText_16"]	AKR1A1 wt Allele	C3715044
Paclitaxel	C0144576	STIMULATES	["37725114_fullText_13"]	ABCB1 gene	C0376622
Quinpirole	C0072892	STIMULATES	["33850083_fullText_6","35032086_fullText_3"]	DRD2 gene	C1333253
Doxorubicin	C0013089	STIMULATES	["35979984_fullText_7"]	PEX1 gene	C1418469
donepezil	C0527316	INHIBITS	["33813359_fullText_6"]	CFP gene	C1418482
donepezil	C0527316	STIMULATES	["34078793_fullText_12"]	SNX33 gene	C1822710
Muscimol	C0026818	STIMULATES	["35352582_fullText_12"]	SLC12A5 gene	C1422213
Calcium Channel Blockers	C0006684	COEXISTS_WITH	["35323951_fullText_8"]	RAPH1 gene	C1422646
alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid	C0051318	COEXISTS_WITH	["24594605_fullText_72"]	GCDH gene	C1415009
Didanosine	C0012133	INHIBITS	["37609698_fullText_1"]	P2RY12 gene	C1425330
Benzodiazepines	C0005064	INHIBITS	["37243798_fullText_1","37218390_fullText_8","35229895_fullText_6"]	HCRTR2 gene	C1415502
Benzodiazepines	C0005064	INHIBITS__SPEC__	["37218390_fullText_4","37218390_fullText_6"]	HCRTR2 gene	C1415502
Isoproterenol	C0022245	STIMULATES	["34564739_fullText_4"]	ALPL gene	C1412364
Isoproterenol	C0022245	STIMULATES	["35219697_fullText_8"]	PDE4A gene	C1418420
Isoproterenol	C0022245	STIMULATES	["34564739_fullText_4"]	RUNX2 gene	C1419771
SCH 58261	C0387956	STIMULATES	["35943710_fullText_7"]	SNAP25 gene	C1420270
CGS 21680	C0055233	COEXISTS_WITH	["36445101_fullText_9"]	GABRQ gene	C1422662
Antihistamines	C0003360	INHIBITS	["36150811_fullText_4"]	HCRTR2 gene	C1415502
Antihistamines	C0003360	INHIBITS	["35714693_fullText_9"]	TRPV2 gene	C1425290
Antihistamines	C0003360	STIMULATES	["35714693_fullText_4"]	TRPV2 gene	C1425290
Sepranolone	C0376202	COEXISTS_WITH	["35689899_fullText_5"]	CFP gene	C1418482
Sepranolone	C0376202	COEXISTS_WITH	["35689899_fullText_5"]	OLFM1 gene	C1424808
Sepranolone	C0376202	INHIBITS	["35967446_fullText_10"]	TLR4 gene	C1336636
Solifenacin	C1099677	STIMULATES	["36422657_fullText_1"]	EEF1B2P2 gene	C1414290
Neurosteroids	C0815278	PART_OF	["36587947_fullText_6"]	CYP11A1 gene	C1413855
Neurosteroids	C0815278	STIMULATES	["37040816_fullText_7"]	P2RX2 gene	C1423503
Muscarinic Antagonists	C0003385	STIMULATES	["34813532_fullText_2","37331921_fullText_8","36422657_fullText_1"]	EEF1B2P2 gene	C1414290
Muscarinic Antagonists	C0003385	compared_with__SPEC__	["34510960_fullText_1"]	AES gene	C1412268
dalfampridine	C0000477	COEXISTS_WITH	["34724104_fullText_6"]	MSN gene	C1417371
Sertraline	C0074393	INHIBITS	["35904815_fullText_5"]	HTR2B gene	C1415810
Cocaine	C0009170	INHIBITS	["37466616_fullText_2"]	SLC6A3 wt Allele	C3813713
Cocaine	C0009170	INTERACTS_WITH	["37466616_fullText_3","36507847_fullText_3","34906999_fullText_4","34906999_fullText_10"]	SLC6A3 wt Allele	C3813713
Cannabinoids	C0006864	COEXISTS_WITH	["39231983_fullText_4"]	PAFAH1B1 gene	C1418245
Cannabinoids	C0006864	COEXISTS_WITH	["36614142_fullText_10"]	SYNGAP1 gene	C1420546
Cannabinoids	C0006864	COEXISTS_WITH	["38030657_fullText_3"]	SMAD5-AS1 gene	C2239937
Cannabinoids	C0006864	INTERACTS_WITH	["37084981_fullText_1","37190758_fullText_3","39231983_fullText_172"]	CNR1 gene	C1413554
Cannabinoids	C0006864	STIMULATES	["35032552_fullText_8"]	MGLL gene	C1442515
Cannabinoids	C0006864	STIMULATES	["33838258_fullText_1"]	TRIM32 gene	C1424232
Cannabinoids	C0006864	STIMULATES	["35962200_fullText_5"]	CNR1 gene	C1413554
Cannabinoids	C0006864	STIMULATES	["33998869_fullText_5"]	CNR2 gene	C1413555
indole	C0021236	STIMULATES	["32357546_fullText_141"]	HSF1 gene	C1415749
Amides	C0002482	INHIBITS	["36322780_fullText_3"]	HCRTR2 gene	C1415502
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	COEXISTS_WITH	["34509561_fullText_6","34509561_fullText_11","34509561_fullText_15","34509561_fullText_16"]	CFP gene	C1418482
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	STIMULATES	["37778205_fullText_6"]	GRIA1 gene	C1415287
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	STIMULATES	["37778205_fullText_6"]	GRIA2 gene	C1415288
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	compared_with	["34259407_fullText_5"]	SGCA gene	C1420005
