Phenotype	Phenotype_id	RELATION	PROVENANCE	Disease	Disease_id
Pathologic findings	C1317598	COEXISTS_WITH	["1660181_fullText_5"]	Leigh Disease	C0023264
Action Tremor	C0234376	ASSOCIATED_WITH	["21749722_fullText_2"]	Acidosis, Lactic	C0001125
Behavioral abnormalities	C3151413	COEXISTS_WITH	["26224289_fullText_9"]	Hyperglycinemia	C0268559
Behavioral abnormalities	C3151413	COEXISTS_WITH	["22131273_fullText_90"]	Myotonic Dystrophy	C0027126
Headache	C0018681	ISA	["34474267_fullText_1"]	nervous system disorder	C0027765
Headache	C0018681	ASSOCIATED_WITH	["27199540_fullText_55"]	Myotonic Dystrophy	C0027126
Headache	C0018681	ASSOCIATED_WITH	["27199540_fullText_55"]	Neuromuscular Diseases	C0027868
Finding of brain	C0576471	COEXISTS_WITH	["19168813_fullText_4"]	Congenital Disorders	C0242354
Clinical Failure	C3640841	COEXISTS_WITH	["21372168_fullText_7"]	Cardiac Arrest	C0018790
Clinical Failure	C3640841	COEXISTS_WITH	["21372168_fullText_9"]	Spinocerebellar Ataxia Type 6 (disorder)	C0752124
Cerebellar ataxia, slowly progressive	C1846368	COEXISTS_WITH	["9088110_fullText_1"]	Neurodegenerative Disorders	C0524851
Familial form	C1832428	COEXISTS_WITH	["21116127_fullText_2"]	Machado-Joseph Disease	C0024408
Behavior showing increased motor activity	C0474395	COEXISTS_WITH	["34564739_fullText_9"]	Chronic Kidney Diseases	C1561643
Behavior showing increased motor activity	C0474395	COEXISTS_WITH	["35147971_fullText_7"]	Neurogenic Urinary Bladder	C0005697
Somatic mosaicism	C1866227	COEXISTS_WITH	["10222776_fullText_1"]	Machado-Joseph Disease	C0024408
Somatic mosaicism	C1866227	COEXISTS_WITH	["8926495_fullText_7"]	Huntington Disease	C0020179
Somatic mosaicism	C1866227	COEXISTS_WITH	["26994442_fullText_1"]	Dystrophia myotonica 1	C2931688
Systemic arterial pressure	C1272641	COEXISTS_WITH	["35247145_fullText_1"]	Hyperinsulinism	C0020459
Systemic arterial pressure	C1272641	COEXISTS_WITH	["36508272_fullText_3"]	Hypertensive disease	C0020538
atypia morphology	C0741302	COEXISTS_WITH	["29506883_fullText_6"]	Leigh Disease	C0023264
Poor posture	C0426976	PREDISPOSES	["21225141_fullText_1"]	Oropharyngeal Dysphagia	C0267071
Involuntary Movements	C0427086	ISA	["34018344_fullText_1","37774703_fullText_1"]	Dyskinetic syndrome	C0013384
Very high	C0442804	COEXISTS_WITH	["3308176_fullText_1"]	Phenylketonurias	C0031485
Very high	C0442804	COEXISTS_WITH__SPEC__	["3308176_fullText_1"]	Phenylketonuria, Maternal	C0085547
Cardiac dysfunction	C3277906	COEXISTS_WITH	["30898524_fullText_1"]	Myasthenia Gravis	C0026896
Cardiac dysfunction	C3277906	COEXISTS_WITH	["7650805_fullText_6"]	Myotonic Dystrophy	C0027126
Cardiac dysfunction	C3277906	COEXISTS_WITH	["18028243_fullText_1"]	Spinocerebellar Ataxia Type 1	C0752120
Cardiac dysfunction	C3277906	COEXISTS_WITH	["18028243_fullText_1","10954068_fullText_7"]	Machado-Joseph Disease	C0024408
Cardiac dysfunction	C3277906	COEXISTS_WITH	["34100266_fullText_1"]	Takotsubo Cardiomyopathy	C1739395
Cardiac dysfunction	C3277906	COEXISTS_WITH	["34796981_fullText_13"]	Epilepsy	C0014544
Cardiac dysfunction	C3277906	PREDISPOSES	["24731534_fullText_127"]	Recurrent disease	C0277556
Mild disease course	C1836775	COEXISTS_WITH	["30911575_fullText_82"]	Mitochondrial Diseases	C0751651
Pulmonary Dysfunction	C1709770	COEXISTS_WITH	["20002004_fullText_3"]	Cardiac Arrest	C0018790
Abnormal breathing	C1260922	ASSOCIATED_WITH	["23326493_fullText_88"]	Glutaric aciduria, type 1	C0268595
Abnormal breathing	C1260922	ASSOCIATED_WITH	["27787743_fullText_3"]	Mitochondrial pathology	C3825201
Abnormal breathing	C1260922	ASSOCIATED_WITH	["22572587_fullText_4"]	Restrictive lung disease	C0085581
Abnormal breathing	C1260922	ASSOCIATED_WITH	["3779503_fullText_2","30765255_fullText_5"]	Myotonic Dystrophy	C0027126
Abnormal breathing	C1260922	ASSOCIATED_WITH	["22572587_fullText_4"]	Sleep Apnea Syndromes	C0037315
Maximal Voluntary Ventilation	C0024967	COEXISTS_WITH	["20002004_fullText_3"]	Upper airway obstruction	C0740852
Clumsiness	C0233844	COEXISTS_WITH	["39030159_fullText_1"]	Progressive cerebellar ataxia	C0393525
Multifactorial	C1837655	COEXISTS_WITH	["30570710_fullText_67"]	Glutaric aciduria	C0268594
Illness (finding)	C0221423	COEXISTS_WITH	["26873234_fullText_2"]	Neurodegenerative Disorders	C0524851
Illness (finding)	C0221423	ISA	["37634747_fullText_1"]	nervous system disorder	C0027765
Illness (finding)	C0221423	ISA	["37758136_fullText_10"]	Anemia	C0002871
Illness (finding)	C0221423	ISA	["37758136_fullText_10"]	Liver diseases	C0023895
Illness (finding)	C0221423	ISA	["34443679_fullText_1"]	Alcoholic Liver Diseases	C0023896
Reduced concentration	C0424099	COEXISTS_WITH	["563538_fullText_7"]	EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508
Vestibular dysfunction	C1843865	COEXISTS_WITH	["25807530_fullText_52"]	Leigh Disease	C0023264
Vestibular dysfunction	C1843865	COEXISTS_WITH	["25807530_fullText_52"]	Nonsyndromic Deafness	C3711374
Visual Impairment	C3665347	COEXISTS_WITH	["32214787_fullText_40"]	Night Blindness	C0028077
Visual Impairment	C3665347	COEXISTS_WITH	["35339718_fullText_1"]	Congenital Disorders	C0242354
Visual Impairment	C3665347	COEXISTS_WITH	["10496264_fullText_5"]	Dystrophia myotonica 2	C2931689
Pain in lower limb	C0023222	COEXISTS_WITH	["32357546_fullText_27"]	Machado-Joseph Disease	C0024408
medication use	C0240320	COEXISTS_WITH	["37533774_fullText_2"]	Chronic Obstructive Airway Disease	C0024117
medication use	C0240320	PREDISPOSES	["37611527_fullText_8"]	Neonatal Abstinence Syndrome	C0027609
Anosmia	C0003126	COEXISTS_WITH	["32147747_fullText_16"]	Kallmann Syndrome	C0162809
Compliance	C3714738	COEXISTS_WITH	["21336059_fullText_2","20495959_fullText_1","20373144_fullText_8","15148857_fullText_6"]	Phenylketonurias	C0031485
Compliance	C3714738	COEXISTS_WITH	["27246831_fullText_73"]	Brain Developmental Abnormality	C3272759
Functional capacity	C1998319	COEXISTS_WITH	["33907889_fullText_2"]	Muscular Atrophy	C0026846
Indifferent mood	C0085632	ASSOCIATED_WITH	["35006557_fullText_11"]	Alzheimer's Disease	C0002395
Indifferent mood	C0085632	ASSOCIATED_WITH	["35503480_fullText_7"]	Parkinson Disease	C0030567
Static Tremor	C0234378	ASSOCIATED_WITH	["36333673_fullText_1"]	Phenylketonurias	C0031485
Static Tremor	C0234378	ASSOCIATED_WITH	["36333673_fullText_1"]	Hyperphenylalaninaemia	C0751435
Exanthema	C0015230	ISA	["33085679_fullText_22"]	Rubella	C0035920
Marriage, life event	C0024841	COEXISTS_WITH	["3209054_fullText_7"]	Phenylketonurias	C0031485
Agitation	C0085631	ASSOCIATED_WITH	["34060465_fullText_2","36522124_fullText_1"]	Movement Disorders	C0026650
Agitation	C0085631	ASSOCIATED_WITH__SPEC__	["36522124_fullText_1"]	Akathisia, Tardive	C0162549
Sleep behavior finding	C0474396	COEXISTS_WITH	["35042515_fullText_4"]	Polycystic Ovary Syndrome	C0032460
Sleep behavior finding	C0474396	COEXISTS_WITH	["35042515_fullText_4"]	Ovarian Failure, Premature	C0085215
Polyuria	C0032617	COEXISTS_WITH	["31650703_fullText_5"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Abnormal result	C0459424	COEXISTS_WITH	["32557671_fullText_12"]	Liver diseases	C0023895
Abnormal Finding	C2826279	COEXISTS_WITH	["24731534_fullText_48"]	Leigh Disease	C0023264
Abnormal Finding	C2826279	COEXISTS_WITH	["2925346_fullText_3"]	Myotonic Dystrophy	C0027126
Senility	C0231337	PREDISPOSES	["34089392_fullText_7"]	Chronic Kidney Insufficiency	C0403447
Proximal weakness	C0750403	ASSOCIATED_WITH	["19864666_fullText_1"]	Hereditary Diseases	C0019247
Eye Manifestations	C0015411	ASSOCIATED_WITH	["36729871_fullText_2"]	Machado-Joseph Disease	C0024408
Eye Manifestations	C0015411	ASSOCIATED_WITH	["36729871_fullText_2"]	Spinocerebellar Ataxia Type 1	C0752120
Eye Manifestations	C0015411	ASSOCIATED_WITH	["19019927_fullText_5"]	Syndrome	C0039082
Achalasia	C1321756	COEXISTS_WITH	["37539958_fullText_3"]	Deglutition Disorders	C0011168
Achalasia	C1321756	COEXISTS_WITH	["37539958_fullText_4"]	Thiamine Deficiency	C0039841
Achalasia	C1321756	COEXISTS_WITH	["31735801_fullText_2"]	Myotonic Dystrophy	C0027126
Achalasia	C1321756	COMPLICATES	["31511482_fullText_2"]	Myotonic Dystrophy	C0027126
etiology unknown	C0743626	COEXISTS_WITH	["21336059_fullText_1"]	Phenylketonurias	C0031485
Dilated	C0700124	COEXISTS_WITH	["34090370_fullText_3"]	Hypertrophic Cardiomyopathy	C0007194
Heteroplasmic	C3845270	COEXISTS_WITH	["21749722_fullText_59"]	Optic Atrophy, Hereditary, Leber	C0917796
Heteroplasmic	C3845270	COEXISTS_WITH	["34045482_fullText_2"]	Adult disease	C0277562
Motor retardation	C0424230	COEXISTS_WITH	["20398363_fullText_9"]	Congenital disorder of glycosylation type 1A	C0349653
Motor retardation	C0424230	COEXISTS_WITH	["22838182_fullText_32"]	Congenital disorder of glycosylation type 1C	C2930997
Motor retardation	C0424230	COEXISTS_WITH	["24397103_fullText_2"]	Cytochrome-c Oxidase Deficiency	C0268237
Motor retardation	C0424230	COEXISTS_WITH	["23044053_fullText_1","21960674_fullText_3"]	Congenital Disorders	C0242354
Motor retardation	C0424230	COEXISTS_WITH	["12116250_fullText_1"]	Syndrome	C0039082
Motor retardation	C0424230	COEXISTS_WITH__SPEC__	["12116250_fullText_1"]	Congenital disorder of glycosylation, type 2C	C0398739
Deafness	C0011053	COEXISTS_WITH	["32677908_fullText_125"]	Mitochondrial encephalopathy	C1852373
Deafness	C0011053	COEXISTS_WITH	["8933342_fullText_2"]	Peroxisomal Disorders	C0282528
Deafness	C0011053	PREDISPOSES	["25807530_fullText_54"]	DEAFNESS, AUTOSOMAL RECESSIVE 2	C1838701
Deafness	C0011053	COEXISTS_WITH__SPEC__	["36827524_fullText_1"]	Meniere Disease	C0025281
Stroke-like episodes	C1857287	COEXISTS_WITH	["26176921_fullText_4"]	Leigh Disease	C0023264
Stroke-like episodes	C1857287	COEXISTS_WITH	["11417605_fullText_12"]	Congenital Disorders of Glycosylation	C0282577
White matter lesions	C2752009	COEXISTS_WITH	["31996177_fullText_4","31996177_abstract_4"]	Subcortical lesions	C0871456
White matter lesions	C2752009	COEXISTS_WITH	["23803495_fullText_1","22131273_fullText_3","22131273_fullText_5","22131273_fullText_99"]	Dystrophia myotonica 1	C2931688
Fever	C0015967	COEXISTS_WITH	["22327749_fullText_63"]	Incomplete right bundle branch block	C0262525
Fever	C0015967	COEXISTS_WITH	["29512743_fullText_2"]	Epilepsy	C0014544
Sequela of disorder	C0543419	COEXISTS_WITH	["23157991_fullText_1"]	Phenylketonurias	C0031485
Sequela of disorder	C0543419	PREDISPOSES	["37231731_fullText_5","37231731_abstract_5"]	Toxic Epidermal Necrolysis	C0014518
Very rare	C1855575	COEXISTS_WITH	["29502919_fullText_3"]	Mitochondrial Diseases	C0751651
Unreported	C1549114	COEXISTS_WITH	["2476755_fullText_4"]	Myotonic Dystrophy	C0027126
Psychomotor delay	C1837619	COEXISTS_WITH	["26977240_fullText_1","20843336_fullText_2"]	Leigh Disease	C0023264
Neonatal Death	C0410916	COEXISTS_WITH	["10448181_fullText_3"]	Epilepsy	C0014544
Vomiting, recurrent	C0750325	CAUSES	["34964562_fullText_11"]	Malnutrition	C0162429
Feeding difficulties	C0232466	COEXISTS_WITH	["33554500_fullText_47"]	Protein Deficiency	C0033626
Feeding difficulties	C0232466	COEXISTS_WITH	["29112118_fullText_87"]	Dwarfism	C0013336
Feeding difficulties	C0232466	COEXISTS_WITH	["27671926_fullText_1"]	Neurodegenerative Disorders	C0524851
Feeding difficulties	C0232466	COEXISTS_WITH	["3889562_fullText_1"]	Syndrome	C0039082
Feeding difficulties	C0232466	COEXISTS_WITH	["31985178_fullText_1"]	Rare Diseases	C0678236
Feeding difficulties	C0232466	COEXISTS_WITH__SPEC__	["27671926_fullText_1"]	Leigh Disease	C0023264
Elevated serum lactate	C2674386	COEXISTS_WITH	["20843336_fullText_73"]	Leigh Disease	C0023264
Disease Outcome	C0679250	COEXISTS_WITH	["33604899_fullText_7"]	Myasthenias	C0947912
Variable clinical presentation	C3278132	COEXISTS_WITH	["29929013_fullText_1"]	Hereditary Neurodegenerative Disorder	C3273225
Prognosis bad	C0278252	COEXISTS_WITH	["38576115_fullText_36"]	Synucleinopathies	C5191670
Prognosis bad	C0278252	COEXISTS_WITH	["4441121_fullText_8"]	Raynaud Phenomenon	C0034735
Prognosis bad	C0278252	COEXISTS_WITH	["11562866_fullText_10"]	nervous system disorder	C0027765
Extrapyramidal features	C2675360	COEXISTS_WITH	["24731534_fullText_89"]	Leigh Disease	C0023264
Poor outcome	C3806166	COEXISTS_WITH	["12408183_fullText_10"]	Phenylketonurias	C0031485
Poor outcome	C3806166	COEXISTS_WITH	["37694528_fullText_1"]	Hypertensive disease	C0020538
Poor outcome	C3806166	COEXISTS_WITH	["36036456_fullText_1"]	Asthma	C0004096
Poor outcome	C3806166	COEXISTS_WITH	["37694528_fullText_1"]	Heart Diseases	C0018799
Necrotic Lesion	C1334929	COEXISTS_WITH	["17323145_fullText_1","32000367_fullText_1"]	Leigh Disease	C0023264
Necrotic Lesion	C1334929	COEXISTS_WITH	["11510939_fullText_1"]	Subacute disease	C0277537
Ketogenic Diet	C0259972	COEXISTS_WITH	["34933094_fullText_4"]	Epilepsy	C0014544
Ragged red fibers	C3275417	COEXISTS_WITH	["16225813_fullText_4"]	Leigh Disease	C0023264
Ragged red fibers	C3275417	COEXISTS_WITH	["17092461_fullText_2"]	Epilepsies, Myoclonic	C0014550
Nuclear magnetic resonance imaging brain normal	C0855355	COEXISTS_WITH	["38576115_fullText_4"]	CEREBELLAR ATAXIA, NEUROPATHY, AND VESTIBULAR AREFLEXIA SYNDROME	C3281223
Immune dysregulation	C1844666	COEXISTS_WITH	["34159722_fullText_2"]	UDPglucose 4-epimerase deficiency disease	C0751161
Impaired exercise tolerance	C0424551	ASSOCIATED_WITH	["29702557_fullText_88"]	Glycogen Storage Disease XIV	C2752015
Impaired exercise tolerance	C0424551	ASSOCIATED_WITH	["35323052_fullText_1"]	Chronic Obstructive Airway Disease	C0024117
Electroencephalogram abnormal	C0151611	COEXISTS_WITH	["7469835_fullText_1"]	Phenylketonurias	C0031485
Bilateral Deafness	C3665473	COEXISTS_WITH	["37525097_fullText_4"]	Wernicke Encephalopathy	C0043121
Alopecia	C0002170	COEXISTS_WITH	["25496057_fullText_1"]	Myotonic Dystrophy	C0027126
Alopecia	C0002170	ASSOCIATED_WITH__SPEC__	["10397582_fullText_3"]	Myotonic Dystrophy	C0027126
Episodic decompensation	C3550504	COEXISTS_WITH	["33097395_fullText_2"]	Syndrome	C0039082
Decompensation	C0231187	PREDISPOSES	["35661713_fullText_9"]	Cirrhosis	C1623038
Crisis	C0231224	COEXISTS_WITH	["38256395_fullText_1","38256395_abstract_1"]	Rare Diseases	C0678236
Crisis	C0231224	COEXISTS_WITH	["21698251_fullText_11"]	Tonic-Clonic Epilepsy	C0014549
Crisis	C0231224	COEXISTS_WITH	["21431622_fullText_290"]	Communicable Diseases	C0009450
Crisis	C0231224	COEXISTS_WITH	["31081514_fullText_5"]	Recurrent apneic attacks	C0795703
Crisis	C0231224	COEXISTS_WITH	["33085679_fullText_1"]	Leigh syndrome , French Canadian type	C1857355
Crisis	C0231224	COEXISTS_WITH	["11331707_fullText_3"]	catabolic state	C0853892
Crisis	C0231224	COEXISTS_WITH	["15505392_fullText_1"]	Glutaric aciduria, type 1	C0268595
Crisis	C0231224	COEXISTS_WITH	["11422452_fullText_9"]	Osteogenesis imperfecta, Levin type	C1833736
Encephalopathy, subacute	C3149360	COEXISTS_WITH	["29601977_fullText_0"]	early disease onset	C0814120
Generalized hypotonia	C1858120	COEXISTS_WITH	["31027758_fullText_1"]	Myotonic Dystrophy	C0027126
Generalized hypotonia	C1858120	COEXISTS_WITH	["10690232_fullText_1"]	Systemic disease	C0442893
Developmental delay, severe	C1853567	COEXISTS_WITH	["8933342_fullText_2"]	Peroxisomal Disorders	C0282528
Feeding poor	C0576456	PREDISPOSES	["35308014_fullText_153"]	Hypoglycemia	C0020615
Feeding poor	C0576456	COEXISTS_WITH	["24113355_fullText_1"]	Fukuyama Type Congenital Muscular Dystrophy	C0410174
Necrotic changes (finding)	C1334928	COEXISTS_WITH	["32057207_abstract_1"]	Metabolic Bone Disorder	C0005944
Axial hypotonia	C1853743	COEXISTS_WITH	["23970718_fullText_1"]	Ketonuria	C0162275
Axial hypotonia	C1853743	COEXISTS_WITH	["16052856_fullText_5"]	Macrocephaly	C0221355
Thalamic lesions	C3278495	COEXISTS_WITH	["556833_fullText_5"]	Myotonic Dystrophy	C0027126
Respiratory pattern	C0517967	COEXISTS_WITH	["8214919_fullText_14"]	Myotonic Dystrophy	C0027126
Slow shallow breathing	C0235546	COEXISTS_WITH	["1670061_fullText_1"]	Myotonic Dystrophy	C0027126
Hypercapnia	C0020440	ASSOCIATED_WITH	["35218742_fullText_4"]	Asthma	C0004096
Mildly Abnormal Ejection Fraction	C3274775	COEXISTS_WITH	["17584276_fullText_2"]	Syndrome	C0039082
Psychomotor regression	C1855019	COEXISTS_WITH	["9796752_fullText_3"]	Metabolic Diseases	C0025517
intracranial lesion	C0581296	COEXISTS_WITH	["2242175_fullText_6"]	Leigh Disease	C0023264
Ventricular enlargement	C2675972	COEXISTS_WITH	["7762758_fullText_5"]	Congenital Myotonic Dystrophy	C0410226
Ventricular enlargement	C2675972	COEXISTS_WITH	["1300269_fullText_2"]	Cerebral atrophy	C0235946
Muscle weakness, progressive	C0240421	COEXISTS_WITH	["24430576_fullText_0"]	Muscular Dystrophy	C0026850
Muscle weakness, progressive	C0240421	COEXISTS_WITH	["30919646_fullText_1","28213156_fullText_1","19068065_fullText_1"]	Neuromuscular Diseases	C0027868
Muscle weakness, progressive	C0240421	COEXISTS_WITH	["31794466_fullText_2"]	Dystrophia myotonica 1	C2931688
Muscle weakness, progressive	C0240421	COEXISTS_WITH	["20878042_fullText_1"]	Myotonic Dystrophy	C0027126
Muscle weakness, progressive	C0240421	COEXISTS_WITH	["34051736_fullText_1","33917301_fullText_1"]	Hereditary Diseases	C0019247
Muscle weakness, progressive	C0240421	COEXISTS_WITH	["31794466_fullText_2"]	Dystrophia myotonica 2	C2931689
Muscle weakness, progressive	C0240421	COEXISTS_WITH	["35483324_fullText_1","9490724_fullText_0"]	Autosomal hereditary disorder	C0265384
Muscle weakness, progressive	C0240421	COEXISTS_WITH__SPEC__	["34051736_fullText_1"]	Myotonic Dystrophy	C0027126
Urinary elimination status	C1320408	COEXISTS_WITH	["21472412_fullText_12"]	Phenylketonurias	C0031485
Urinary elimination status	C1320408	COEXISTS_WITH	["16527507_fullText_2"]	Metabolic Diseases	C0025517
Urinary elimination status	C1320408	COEXISTS_WITH	["8445849_fullText_5"]	Glutaric aciduria, type 1	C0268595
Urinary elimination status	C1320408	COEXISTS_WITH__SPEC__	["16527507_fullText_2"]	3-@METHYLGLUTACONIC ACIDURIA, TYPE I	C0342727
Hypotonia, severe	C1839630	COEXISTS_WITH	["33858316_fullText_1"]	Congenital disorder of glycosylation type 1A	C0349653
Hypotonia, severe	C1839630	COEXISTS_WITH	["31074869_fullText_1"]	Rare Diseases	C0678236
Hypotonia, severe	C1839630	COEXISTS_WITH	["18797171_fullText_1"]	Myasthenic Syndromes, Congenital	C0751882
Hypotonia, severe	C1839630	COEXISTS_WITH	["28188302_fullText_1"]	Syndrome	C0039082
Vacuolation	C0010840	COEXISTS_WITH	["31650703_fullText_5"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Encephalomyopathy	C3554130	COEXISTS_WITH	["3008021_fullText_6"]	Leigh Disease	C0023264
respiratory abnormalities	C0231796	COEXISTS_WITH	["28273704_fullText_8"]	Ptosis	C0033377
respiratory abnormalities	C0231796	COEXISTS_WITH	["16048155_fullText_2"]	Syndrome	C0039082
respiratory abnormalities	C0231796	COEXISTS_WITH	["28273704_fullText_8"]	Hypertrichosis	C0020555
respiratory abnormalities	C0231796	ASSOCIATED_WITH	["2345280_fullText_6"]	Leigh Disease	C0023264
Apnea, episodic	C3806500	COEXISTS_WITH	["12609506_fullText_8"]	Myasthenic Syndromes, Congenital	C0751882
Irregular breathing	C0425492	COEXISTS_WITH	["7656955_fullText_3"]	Myotonic Dystrophy	C0027126
Muscle hypotonia	C0026827	COEXISTS_WITH	["22838182_fullText_32"]	Congenital disorder of glycosylation type 1C	C2930997
Muscle hypotonia	C0026827	COEXISTS_WITH	["11930273_fullText_1"]	Dandy-Walker Syndrome	C0010964
Muscle hypotonia	C0026827	COEXISTS_WITH	["3889562_fullText_1"]	Syndrome	C0039082
Muscle hypotonia	C0026827	DIAGNOSES__SPEC__	["15277997_fullText_2"]	Congenital Disorders	C0242354
Signs and Symptoms, Respiratory	C0037090	ASSOCIATED_WITH	["11870585_fullText_7"]	Leigh Disease	C0023264
Signs and Symptoms, Respiratory	C0037090	CAUSES	["16048155_fullText_3"]	Respiratory Failure	C1145670
Hirsutism	C0019572	COEXISTS_WITH	["34779371_fullText_13"]	Polycystic Ovary Syndrome	C0032460
Laboratory test finding	C0587081	COEXISTS_WITH	["34172001_fullText_6"]	Muscular Atrophy	C0026846
Laboratory test finding	C0587081	COEXISTS_WITH	["35308014_fullText_99"]	Hypoglycemia	C0020615
Ascites	C0003962	COEXISTS_WITH	["35688747_fullText_6"]	Liver Cirrhosis	C0023890
Ascites	C0003962	COEXISTS_WITH	["31027145_fullText_58"]	Endometriosis	C0014175
Ascites	C0003962	COEXISTS_WITH	["35665949_fullText_4"]	Cirrhosis	C1623038
Generalized muscle weakness	C0746674	ASSOCIATED_WITH	["19305075_fullText_1"]	Congenital Disorders	C0242354
Generalized muscle weakness	C0746674	ASSOCIATED_WITH__SPEC__	["19305075_fullText_1"]	Scleroatonic muscular dystrophy	C0410179
Bilateral ptosis	C1865916	COEXISTS_WITH	["22844785_fullText_9"]	Myotonic Dystrophy	C0027126
Paralysed	C0522224	COEXISTS_WITH	["34274434_fullText_6"]	Helminthiasis	C0018889
Paralysed	C0522224	ISA	["17228821_fullText_2"]	Cranial nerve palsies	C0151311
Seizures, Focal	C0751495	COEXISTS_WITH	["16369068_fullText_5"]	Syndrome	C0039082
Myoclonus, Palatal	C0030214	ASSOCIATED_WITH	["30029642_fullText_25"]	Recurrent seizures	C0748607
Hypotension	C0020649	COEXISTS_WITH	["20470437_fullText_4"]	Dystrophia myotonica 1	C2931688
Cardiomegaly	C0018800	COEXISTS_WITH	["3160160_fullText_5"]	Leigh Disease	C0023264
Thickened	C0205400	COEXISTS_WITH	["18295739_fullText_2"]	Systemic Scleroderma	C0036421
Thickened	C0205400	COEXISTS_WITH	["32011328_abstract_1"]	X-Linked Inherited Disorder	C2828000
Hepatomegaly	C0019209	COEXISTS_WITH	["21960674_fullText_3"]	Congenital Disorders	C0242354
Hepatomegaly	C0019209	COEXISTS_WITH	["8933342_fullText_2"]	Peroxisomal Disorders	C0282528
Hepatomegaly	C0019209	ISA	["1735522_fullText_5"]	Liver diseases	C0023895
Hepatomegaly	C0019209	CAUSES__SPEC__	["29112118_fullText_140"]	Cirrhosis	C1623038
Hepatomegaly	C0019209	CAUSES__SPEC__	["29112118_fullText_140"]	Cholestasis	C0008370
Hepatomegaly	C0019209	ASSOCIATED_WITH	["38198573_abstract_5"]	Chronic liver disease	C0341439
<30 min	C3842955	COEXISTS_WITH	["23658800_fullText_17","32188137_fullText_240","9382874_fullText_62"]	Painful Bladder Syndrome	C1720830
Mild disorder	C3280118	COEXISTS_WITH	["33554500_fullText_47"]	Protein Deficiency	C0033626
Neurodevelopmental regression	C1857121	COEXISTS_WITH	["35216885_fullText_1"]	Primary disease	C0277554
Athetosis	C0004158	ASSOCIATED_WITH	["35796883_fullText_1"]	Lysosomal Storage Diseases	C0085078
Athetosis	C0004158	ISA	["32259258_fullText_2"]	Chorea	C0008489
exacerbation acute	C0743630	COEXISTS_WITH	["32000367_fullText_36"]	Epilepsy	C0014544
Retinal abnormalities	C0035300	COEXISTS_WITH	["2427315_fullText_4"]	Myotonic Dystrophy	C0027126
acid urine	C0854059	COEXISTS_WITH	["17301081_fullText_2"]	Acidosis, Lactic	C0001125
Motor delay	C1854301	COEXISTS_WITH	["16052856_fullText_5"]	Macrocephaly	C0221355
Hypersomnia	C0917799	COEXISTS_WITH	["7738599_fullText_1","172608_fullText_1"]	Myotonic Dystrophy	C0027126
Hypersomnia	C0917799	ASSOCIATED_WITH	["16855999_fullText_9","12519589_fullText_6"]	Myotonic Dystrophy	C0027126
Weaning	C0043084	COEXISTS_WITH	["30823463_fullText_2"]	Phenylketonurias	C0031485
Neurologic regression	C3276434	COEXISTS_WITH	["35216885_fullText_2"]	LAURIN-SANDROW SYNDROME	C1851100
Muscle Hypertonia	C0026826	ASSOCIATED_WITH	["37518841_fullText_3"]	CNS disorder	C0007682
Muscle Hypertonia	C0026826	CAUSES	["36169206_fullText_2"]	Hypertensive disease	C0020538
Spasm	C0037763	ASSOCIATED_WITH	["36543208_fullText_41"]	Leigh Disease	C0023264
Seizures, intractable	C2674422	COEXISTS_WITH	["30916789_fullText_3"]	Folic Acid Deficiency	C0016412
Seizures, intractable	C2674422	COEXISTS_WITH	["26232297_fullText_1"]	Rare Diseases	C0678236
Seizures, intractable	C2674422	COEXISTS_WITH	["37776661_fullText_3"]	Convulsions in the newborn	C0159020
Seizures, intractable	C2674422	COEXISTS_WITH	["24122693_fullText_1"]	EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508
Respiratory distress	C0476273	ASSOCIATED_WITH	["31027145_fullText_20"]	Respiratory Failure	C1145670
Respiratory distress	C0476273	ASSOCIATED_WITH	["27130041_fullText_6"]	Kidney Failure	C0035078
Respiratory distress	C0476273	ASSOCIATED_WITH	["27130041_fullText_6"]	Anuria	C0003460
Respiratory distress	C0476273	MANIFESTATION_OF	["30659264_fullText_3"]	Leigh Disease	C0023264
Globe finding	C0423216	COEXISTS_WITH	["30120985_fullText_2"]	Pierson syndrome	C1836876
Globe finding	C0423216	COEXISTS_WITH	["8426328_fullText_5"]	Myotonic Dystrophy	C0027126
Globe finding	C0423216	COEXISTS_WITH	["8426328_fullText_5"]	Pars Planitis	C0030593
Perinatal death	C0701826	COEXISTS_WITH	["1509455_fullText_3"]	Congenital Myotonic Dystrophy	C0410226
Muscle Weakness	C0151786	COEXISTS_WITH	["39487453_fullText_1"]	MYOTONIC DYSTROPHY 1	C3250443
Muscle Weakness	C0151786	COEXISTS_WITH	["31985178_fullText_1"]	Rare Diseases	C0678236
Muscle Weakness	C0151786	COEXISTS_WITH__SPEC__	["33924258_fullText_1"]	Fibromyalgia	C0016053
Muscle Weakness	C0151786	COEXISTS_WITH__SPEC__	["9733437_fullText_1"]	Dystrophia myotonica 1	C2931688
Vomiting	C0042963	COEXISTS_WITH	["8525657_fullText_2"]	myotonic muscular dystrophy	C0242007
