Gene	Gene_id	RELATION	PROVENANCE	Drug	Drug_id
NDUFS4 gene	C1417647	INHIBITS	["38177503_fullText_148"]	NADH	C0027289
NDUFS4 gene	C1417647	STIMULATES	["34849584_fullText_62"]	NADH	C0027289
CTF1 gene	C1332801	COEXISTS_WITH	["30429455_fullText_12"]	Galactose	C0016945
SLC39A8 gene	C1427169	COEXISTS_WITH	["34246313_fullText_3"]	Galactose	C0016945
GLC1P gene	C3147379	STIMULATES	["32188137_fullText_89"]	Galactose	C0016945
MCU gene	C1824637	COEXISTS_WITH	["34415186_fullText_4"]	Mitomycin	C0002475
HIBCH gene	C1415543	COEXISTS_WITH	["32677093_fullText_14","25125611_fullText_3"]	Valine	C0042285
ECHS1 gene	C1414247	COEXISTS_WITH	["32677093_fullText_14"]	Valine	C0042285
ECHS1 gene	C1414247	INTERACTS_WITH	["32677908_fullText_124","30029642_fullText_63"]	Valine	C0042285
ANLN gene	C1422396	compared_with	["33769699_fullText_7"]	Valine	C0042285
ANLN gene	C1422396	higher_than	["33769699_fullText_7"]	Valine	C0042285
NDUFS4 gene	C1417647	COEXISTS_WITH	["38177503_fullText_154"]	Ubiquinone	C0041536
PDCD6 gene	C1418406	COEXISTS_WITH	["38733638_fullText_7"]	Polysaccharides	C0032594
TMEM199 gene	C1425293	COEXISTS_WITH	["32145091_fullText_71"]	Polysaccharides	C0032594
CCDC115 gene	C1824644	COEXISTS_WITH	["32145091_fullText_71"]	Polysaccharides	C0032594
DDOST gene	C1413949	COEXISTS_WITH	["29497882_fullText_23"]	Polysaccharides	C0032594
MPI gene	C1417244	COEXISTS_WITH	["35279850_fullText_43"]	Polysaccharides	C0032594
PMM2 gene	C1418674	COEXISTS_WITH	["22838182_fullText_43","35279850_fullText_43"]	Polysaccharides	C0032594
MAN2B2 gene	C1428881	INHIBITS	["38622837_fullText_7"]	Polysaccharides	C0032594
GORAB gene	C1822658	INHIBITS	["32629928_fullText_133"]	Polysaccharides	C0032594
ELF4 gene	C1414377	INHIBITS	["21737679_fullText_142"]	Polysaccharides	C0032594
PMM2 gene	C1418674	INHIBITS	["35279850_fullText_100","22956764_fullText_132"]	Polysaccharides	C0032594
PMM2 gene	C1418674	INTERACTS_WITH	["24831587_fullText_5","17307006_fullText_1","29497882_fullText_23"]	Polysaccharides	C0032594
NGLY1 gene	C1425023	INTERACTS_WITH	["36102038_fullText_3","35406718_fullText_1","35565658_fullText_89","35565658_fullText_90"]	Polysaccharides	C0032594
PMM2 gene	C1418674	STIMULATES	["22956764_fullText_123"]	Polysaccharides	C0032594
DDOST gene	C1413949	STIMULATES	["36214423_fullText_7"]	Polysaccharides	C0032594
PMM2 gene	C1418674	PRODUCES	["26940433_fullText_75"]	Polysaccharides	C0032594
EAF2 gene	C1427926	PRODUCES	["33076454_fullText_21"]	Polysaccharides	C0032594
NGLY1 gene	C1425023	PRODUCES	["35565658_fullText_136"]	Polysaccharides	C0032594
LEMD3 gene	C1537562	PRODUCES	["35565658_fullText_124"]	Polysaccharides	C0032594
TMEM199 gene	C1425293	PRODUCES	["32915358_fullText_3"]	Polysaccharides	C0032594
NDUFS4 gene	C1417647	COEXISTS_WITH	["34849584_fullText_178"]	acylcarnitine	C0368608
GCDH gene	C1415009	STIMULATES	["36221165_fullText_1"]	acylcarnitine	C0368608
SIRT2 gene	C1420071	COEXISTS_WITH	["37012886_fullText_10"]	Nicotinamide adenine dinucleotide (NAD)	C0027270
NDUFS4 gene	C1417647	INHIBITS	["30520688_fullText_122"]	Nicotinamide adenine dinucleotide (NAD)	C0027270
NAMPT gene	C1428933	STIMULATES	["34849584_fullText_238"]	Nicotinamide adenine dinucleotide (NAD)	C0027270
NDUFA9 gene	C1417630	STIMULATES	["32969598_fullText_60"]	Doxycycline	C0013090
NDUFC2 gene	C1417643	STIMULATES	["32969598_fullText_61"]	Doxycycline	C0013090
NDUFV1 gene	C1417652	STIMULATES	["32969598_fullText_60"]	Doxycycline	C0013090
NDUFB8 gene	C1417640	STIMULATES	["32969598_fullText_60"]	Doxycycline	C0013090
HIBCH gene	C1415543	INTERACTS_WITH__INFER__	["27977873_fullText_76"]	Acetylcysteine	C0001047
SLC19A3 gene	C1424138	INTERACTS_WITH__INFER__	["27977873_fullText_76"]	Acetylcysteine	C0001047
NAGS gene	C1540311	INHIBITS	["37847851_fullText_48"]	Arginine	C0003765
GIT2 wt Allele	C1708123	STIMULATES	["32872442_fullText_140"]	Arginine	C0003765
ECHS1 gene	C1414247	INTERACTS_WITH	["33139125_fullText_1","26081110_fullText_4","25125611_fullText_3","32677908_fullText_124","30029642_fullText_61","35206276_fullText_3"]	Fatty Acids	C0015684
SLC19A3 gene	C1424138	INTERACTS_WITH	["37642897_fullText_3","37642897_fullText_7"]	Thiamine	C0039840
SLC19A3 gene	C1424138	STIMULATES	["36093993_fullText_179"]	Thiamine	C0039840
SLC25A19 gene	C1422628	STIMULATES	["36093993_fullText_179"]	Thiamine	C0039840
SRPR gene	C1420414	COEXISTS_WITH	["26824698_fullText_79"]	Digitonin	C0012256
SLC19A3 gene	C1424138	INTERACTS_WITH__INFER__	["34308912_fullText_42"]	Biotin	C0005575
CEL gene	C1413336	PRODUCES	["27502960_fullText_30"]	Succinates	C0038617
TSC22D3 wt Allele	C3539618	INTERACTS_WITH__INFER__	["36584558_fullText_5"]	Flunarizine	C0016295
ECHS1 gene	C1414247	INTERACTS_WITH__INFER__	["26163321_fullText_7"]	Carnitine	C0007258
CD9 gene	C1413246	INHIBITS	["33773979_fullText_7"]	Baclofen	C0004609
NBL1 gene	C0919442	compared_with	["33837558_fullText_2"]	Adrenal Cortex Hormones	C0001617
IGSF6 gene	C1416375	INHIBITS	["36602018_fullText_5"]	Lipopolysaccharides	C0023810
ERCC2 wt Allele	C1705972	INHIBITS	["32147747_fullText_83"]	Sulfur	C0038774
TSPO gene	C1823521	INHIBITS	["36574032_fullText_9"]	Therapeutic agent (substance)	C1611640
S100B gene	C1419790	INHIBITS	["20437086_fullText_4"]	Reduced Glutathione	C0034917
LSS gene	C1416926	COEXISTS_WITH	["35216885_fullText_3"]	Cisplatin	C0008838
CEL gene	C1413336	INTERACTS_WITH	["36361620_fullText_4","36361620_fullText_6"]	Cisplatin	C0008838
ILF2 gene	C1416419	STIMULATES	["33975879_fullText_6"]	Cisplatin	C0008838
ZNF77 gene	C1421834	compared_with	["34666020_fullText_3"]	Cisplatin	C0008838
ZNF77 gene	C1421834	higher_than	["34666020_fullText_3"]	Cisplatin	C0008838
SV2A gene	C1427005	STIMULATES	["33706129_fullText_9"]	Antiepileptic Agents	C0003299
PEX13 gene	C1418474	INHIBITS	["27827795_fullText_0"]	Plasmalogens	C0032133
DDOST gene	C1413949	STIMULATES	["27469511_fullText_84"]	Conjugated bile acids	C0443599
ABCC4 gene	C1412079	STIMULATES	["27469511_fullText_84"]	Conjugated bile acids	C0443599
ABCC3 gene	C1412078	STIMULATES	["27469511_fullText_84"]	Conjugated bile acids	C0443599
PHEX gene	C1418526	PRODUCES	["38409970_fullText_3"]	Long chain fatty acid	C0522095
CHR gene	C1413398	INHIBITS	["37999884_fullText_7"]	Copper	C0009968
RAB3D gene	C1419208	COEXISTS_WITH	["35060618_fullText_2"]	Analgesics	C0002771
MT-ND3 gene	C1537991	COEXISTS_WITH__SPEC__	["22947169_fullText_7"]	Rifamycins	C0035609
Genes, Mitochondrial	C1563761	COEXISTS_WITH	["22947169_fullText_7"]	Rifamycins	C0035609
MTSS1 gene	C1426941	COEXISTS_WITH	["29702557_fullText_142"]	Magnesium Cation	C2346927
ASIC1 gene	C1412115	COEXISTS_WITH	["37629153_fullText_10"]	Magnesium Cation	C2346927
LRPPRC gene	C1423677	INHIBITS	["20220140_fullText_40"]	cobaltous cation	C2347816
DSG1 gene	C1414168	COEXISTS_WITH	["29601977_fullText_76","26092529_fullText_131","38332227_fullText_248"]	Sucrose	C0038636
TSPO gene	C1823521	COEXISTS_WITH	["22431750_fullText_143","26908607_fullText_194"]	Formaldehyde	C0016564
SAMD4A gene	C1826968	COEXISTS_WITH	["23637619_fullText_69","23637619_fullText_78"]	Formaldehyde	C0016564
LGALS4 gene	C1416832	COEXISTS_WITH	["23637619_fullText_69"]	Formaldehyde	C0016564
PMM2 gene	C1418674	COEXISTS_WITH__SPEC__	["35279850_fullText_43"]	Tetrasaccharide	C0556151
PDCD6 gene	C1418406	STIMULATES	["35279850_fullText_96"]	Tetrasaccharide	C0556151
MPI gene	C1417244	COEXISTS_WITH__SPEC__	["35279850_fullText_43"]	Tetrasaccharide	C0556151
FXYD1 gene	C1414874	COEXISTS_WITH	["36073843_fullText_3"]	Bupropion	C0085208
CYP11A1 gene	C1413855	STIMULATES	["34797492_fullText_4"]	Antipsychotic Agents	C0040615
IMPACT gene	C1825598	COEXISTS_WITH	["34763668_fullText_1"]	Aspirin	C0004057
P2RY12 gene	C1425330	compared_with	["34426033_fullText_1","34426033_fullText_2","34426033_fullText_3","34426033_fullText_4","34426033_fullText_5"]	Aspirin	C0004057
CALD1 wt Allele	C3813548	INTERACTS_WITH__INFER__	["34545010_fullText_3"]	Aspirin	C0004057
NGLY1 gene	C1425023	INHIBITS	["38649481_fullText_5"]	Oxytocin	C0030095
CAV2 wt Allele	C1707075	STIMULATES	["35819489_fullText_7"]	Carbidopa	C0006982
IMPACT gene	C1825598	INHIBITS	["34582961_fullText_2"]	MK-801	C0813872
PPARA gene	C1418776	COEXISTS_WITH	["34416301_fullText_5","34416301_fullText_9"]	Antidepressive Agents	C0003289
Alleles	C0002085	COEXISTS_WITH	["10874306_fullText_5"]	monoamine	C0599682
NGLY1 gene	C1425023	COEXISTS_WITH	["35653343_fullText_122"]	monoamine	C0599682
ALYREF gene	C1425988	INTERACTS_WITH__INFER__	["35995686_fullText_1","35995686_fullText_2","35995686_fullText_9"]	Adrenergic beta-Antagonists	C0001645
STAT3 gene	C1367307	COEXISTS_WITH	["35776042_fullText_7"]	donepezil	C0527316
NLRP3 gene	C1424250	COEXISTS_WITH	["35776042_fullText_7"]	donepezil	C0527316
HIF1A wt Allele	C1704838	COEXISTS_WITH	["35776042_fullText_7"]	donepezil	C0527316
ARHGAP9 gene	C1422424	INHIBITS	["35749685_fullText_4"]	donepezil	C0527316
RAB3D gene	C1419208	COEXISTS_WITH	["32357546_fullText_18"]	Synthetic drug	C0259849
Candidate Disease Gene	C1332838	INHIBITS	["37156668_fullText_4"]	Calcium Channel Blockers	C0006684
GCDH gene	C1415009	PRODUCES	["24594605_fullText_50"]	alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid	C0051318
PTGIS gene	C1419071	PRODUCES	["34288015_fullText_13"]	Epoprostenol	C0033567
ADRB1 gene	C1439273	INHIBITS	["37459671_fullText_2"]	1,3-dipropyl-8-cyclopentylxanthine	C0088321
IL13 gene	C1334103	compared_with	["36856158_fullText_2"]	Anti-Histamine	C1961851
AES gene	C1412268	INTERACTS_WITH__INFER__	["34510960_fullText_1"]	Solifenacin	C1099677
ARIH1 gene	C1412533	COEXISTS_WITH	["34479019_fullText_8"]	Neurosteroids	C0815278
STAR gene	C1420453	COEXISTS_WITH	["36356843_fullText_5"]	Neurosteroids	C0815278
SIRT3 gene	C1423063	PRODUCES	["35715069_fullText_4"]	Neurosteroids	C0815278
TRIT1 gene	C1426839	compared_with	["36267873_fullText_7"]	Sertraline	C0074393
PTP4A3 gene	C1419090	compared_with	["36638053_fullText_2"]	cabergoline	C0107994
DRD2 gene	C1333253	INHIBITS	["37040055_fullText_3"]	Cocaine	C0009170
SLC6A3 wt Allele	C3813713	INHIBITS	["33794225_fullText_11"]	Cocaine	C0009170
SLC6A3 wt Allele	C3813713	STIMULATES	["35754103_fullText_6"]	Cocaine	C0009170
SLC6A3 wt Allele	C3813713	compared_with	["36730201_fullText_6"]	Cocaine	C0009170
ANLN gene	C1422396	CONVERTS_TO	["33769699_fullText_7"]	Amides	C0002482
CNR2 gene	C1413555	CONVERTS_TO	["34676751_fullText_4"]	carboxylate	C0178528
CNR1 gene	C1413554	CONVERTS_TO	["34676751_fullText_4"]	carboxylate	C0178528
IMPACT gene	C1825598	STIMULATES	["34544837_fullText_4"]	Amphetamine	C0002658
UBA7 gene	C1421270	COEXISTS_WITH	["36264171_fullText_5"]	Tetrahydrocannabinol	C0039663
CNR1 gene	C1413554	compared_with	["36541839_fullText_4"]	Tetrahydrocannabinol	C0039663
ANLN gene	C1422396	compared_with	["37847546_fullText_2"]	Tetrahydrocannabinol	C0039663
ANLN gene	C1422396	COEXISTS_WITH	["34676751_fullText_2"]	Marihuana	C0024808
GPER1 gene	C1415223	INTERACTS_WITH	["34800583_fullText_4","34800583_fullText_10"]	Marihuana	C0024808
IMPACT gene	C1825598	INTERACTS_WITH	["37598453_fullText_8","34779673_fullText_8"]	Marihuana	C0024808
DNPH1 gene	C1427424	STIMULATES	["34985165_fullText_3"]	Marihuana	C0024808
IMPACT gene	C1825598	STIMULATES	["34985165_fullText_3"]	Marihuana	C0024808
GRM2 gene	C1415306	compared_with	["34968554_fullText_2"]	Escitalopram	C1099456
CYP2C19 gene	C1332828	compared_with	["36164782_fullText_5"]	Escitalopram	C1099456
SAT1 wt Allele	C1705827	compared_with	["34254966_fullText_6"]	Escitalopram	C1099456
CYP2C19 gene	C1332828	higher_than	["36164782_fullText_5"]	Escitalopram	C1099456
GAD1 gene	C1414925	INTERACTS_WITH__INFER__	["34417992_fullText_3"]	Escitalopram	C1099456
GTS gene	C1415353	INHIBITS	["36375394_fullText_8"]	Hydrocortisone	C0020268
PMM2 gene	C1418674	INTERACTS_WITH__INFER__	["34140212_fullText_7"]	Hydrocortisone	C0020268
CEL gene	C1413336	COEXISTS_WITH	["11175307_fullText_5"]	Phenylalanine	C0031453
Alleles	C0002085	COEXISTS_WITH	["7967476_fullText_6"]	Phenylalanine	C0031453
PAH gene	C1418251	COEXISTS_WITH	["32106880_fullText_1"]	Phenylalanine	C0031453
JAG1 wt Allele	C2697827	COEXISTS_WITH	["17484755_fullText_6"]	Phenylalanine	C0031453
SMARCB1 gene	C0812273	COEXISTS_WITH	["29628378_fullText_4"]	Phenylalanine	C0031453
NUSAP1 gene	C1425583	COEXISTS_WITH	["37922902_abstract_12"]	Phenylalanine	C0031453
ASL gene	C1412582	COEXISTS_WITH	["32054509_abstract_6","32054509_fullText_6"]	Phenylalanine	C0031453
PAH gene	C1418251	INHIBITS	["19654333_fullText_3"]	Phenylalanine	C0031453
THEMIS gene	C1427618	INHIBITS	["16086286_fullText_4"]	Phenylalanine	C0031453
AES gene	C1412268	INHIBITS	["29973227_fullText_8","29628378_fullText_5"]	Phenylalanine	C0031453
VIL1 gene	C1421449	INHIBITS	["3979670_fullText_2"]	Phenylalanine	C0031453
IMPACT gene	C1825598	INHIBITS	["37630793_fullText_2"]	Phenylalanine	C0031453
RHOA gene	C0812234	INHIBITS	["17515837_fullText_9"]	Phenylalanine	C0031453
MNT gene	C1417222	INHIBITS	["38142628_fullText_2"]	Phenylalanine	C0031453
IMPACT gene	C1825598	INTERACTS_WITH	["37447372_fullText_12","38068761_abstract_23","38068761_abstract_29","32054509_abstract_3"]	Phenylalanine	C0031453
PAH gene	C1418251	STIMULATES	["15556637_fullText_2"]	Phenylalanine	C0031453
DNAJC12 gene	C1539297	STIMULATES	["32800687_fullText_5"]	Phenylalanine	C0031453
Locus	C1708726	STIMULATES	["2220810_fullText_7"]	Phenylalanine	C0031453
Wild Type	C1883559	PRODUCES	["29596327_fullText_3"]	Phenylalanine	C0031453
DNAJC12 gene	C1539297	INTERACTS_WITH__INFER__	["32800687_fullText_3"]	Phenylalanine	C0031453
TBX4 wt Allele	C3813609	INTERACTS_WITH__INFER__	["35986141_fullText_8"]	Chelating Agents	C0007974
MYH6 gene	C1417541	COEXISTS_WITH	["36951759_fullText_3"]	Methyl Methanesulfonate	C0025706
NLRP1 wt Allele	C3538756	COEXISTS_WITH	["34861466_fullText_5"]	Paroxetine	C0070122
FNDC5 gene	C1426803	INTERACTS_WITH	["35226247_fullText_2","35226247_fullText_5"]	Paroxetine	C0070122
FNDC5 gene	C1426803	STIMULATES	["34861466_fullText_4"]	Paroxetine	C0070122
ALAS1 gene	C1412330	INHIBITS	["37302714_fullText_1"]	Proton Pump Inhibitors	C0358591
UGT1A7 wt Allele	C3541329	INHIBITS	["35213716_fullText_5"]	Proton Pump Inhibitors	C0358591
HERPUD1 gene	C1422179	INHIBITS	["37093762_fullText_2"]	Proton Pump Inhibitors	C0358591
PKM2 wt Allele	C2698696	INHIBITS	["36174843_fullText_4","36174843_fullText_5"]	Proton Pump Inhibitors	C0358591
P2RY12 gene	C1425330	INHIBITS	["34918066_fullText_14"]	Ticagrelor	C1999375
CYP2C19 gene	C1332828	COEXISTS_WITH	["36306392_fullText_5"]	clopidogrel	C0070166
CYP2C19 gene	C1332828	INHIBITS	["36588476_fullText_7"]	clopidogrel	C0070166
P2RY12 gene	C1425330	compared_with	["34257048_fullText_7"]	clopidogrel	C0070166
CALD1 wt Allele	C3813548	INTERACTS_WITH__INFER__	["34545010_fullText_3"]	clopidogrel	C0070166
P2RY12 gene	C1425330	INHIBITS	["34918066_fullText_14"]	prasugrel	C1620287
DRD2 gene	C1333253	INHIBITS	["37040055_fullText_3"]	Methamphetamine	C0025611
DRD1 gene	C1333250	INHIBITS	["35768212_fullText_4"]	AM 251	C0534009
TBX4 wt Allele	C3813609	INTERACTS_WITH__INFER__	["35986141_fullText_3"]	Sugammadex	C1700695
CFP gene	C1418482	INHIBITS	["35218172_fullText_5"]	Corticosterone	C0010124
DNAJC12 gene	C1539297	INHIBITS	["37156708_fullText_9"]	Hydroxyindoleacetic Acid	C0020361
IMPACT gene	C1825598	COEXISTS_WITH	["35174411_fullText_10"]	Psychotropic Drugs	C0033978
CHRNE gene	C1413412	INTERACTS_WITH__INFER__	["32727330_fullText_8"]	Adrenergic Agonists	C0001648
AMD1 wt Allele	C3539530	INTERACTS_WITH__INFER__	["34011258_fullText_8"]	Adrenergic Agonists	C0001648
GAD1 gene	C1414925	INTERACTS_WITH__INFER__	["34417992_fullText_3"]	Agomelatine	C0971637
FTH1 gene	C1414833	STIMULATES	["37249604_fullText_6"]	Haloperidol	C0018546
CYP2D6 gene	C1332830	INHIBITS	["36350097_fullText_7"]	brexpiprazole	C3886627
hla gene	C0599797	COEXISTS_WITH	["33973477_fullText_5"]	Anticonvulsants	C0003286
STX2 gene	C1823140	COEXISTS_WITH	["37328081_fullText_5"]	Phenolics	C0359916
MBNL1 gene	C1417055	COEXISTS_WITH	["24293317_fullText_56"]	paraform	C0070066
PFDN5 gene	C1418486	COEXISTS_WITH	["26940433_fullText_122"]	paraform	C0070066
NGLY1 gene	C1425023	COEXISTS_WITH	["32259258_fullText_145"]	paraform	C0070066
TSPO gene	C1823521	COEXISTS_WITH	["21826223_fullText_91"]	paraform	C0070066
ADORA3 gene	C1412251	INHIBITS	["34591327_fullText_6"]	Inosine	C0021528
TCFL5 gene	C1420648	STIMULATES	["33860899_fullText_6"]	Inosine	C0021528
SRSF6 gene	C1419997	COEXISTS_WITH	["35287982_fullText_1"]	Hypnotics and Sedatives	C0020592
IMPACT gene	C1825598	COEXISTS_WITH	["37054659_fullText_2"]	Hypnotics and Sedatives	C0020592
NLRP1 wt Allele	C3538756	STIMULATES	["30429455_fullText_51"]	Carboxylic Acids	C0007066
NEB gene	C1417656	COEXISTS_WITH	["30388443_fullText_171"]	Methanol	C0001963
HHEX gene	C1415537	INHIBITS	["37328081_fullText_8"]	2,2'-azino-di-(3-ethylbenzothiazoline)-6-sulfonic acid	C0045246
AES gene	C1412268	INTERACTS_WITH__INFER__	["34510960_fullText_1"]	fesoterodine	C2343853
FOXM1 gene	C1414685	STIMULATES	["37057874_fullText_6"]	Hydroxymethylglutaryl-CoA Reductase Inhibitors	C0360714
FDXR gene	C1414575	INHIBITS	["35688208_fullText_11"]	Pregnenolone	C0373704
PON1 gene	C1418754	INHIBITS	["37802409_fullText_2"]	Oximes	C0030020
PRRT2 wt Allele	C3539645	INHIBITS	["35943710_fullText_6"]	2,5-dichloro-4-bromophenol	C0045550
UHMK1 gene	C1540160	INHIBITS	["34052739_fullText_3"]	Heterocyclic Amines	C1512423
NPC1 gene	C1417776	STIMULATES	["37423302_fullText_1"]	Sphingolipids	C0037900
IMPACT gene	C1825598	compared_with	["36719690_fullText_7"]	omalizumab	C0966225
KCNE1 gene	C1416563	COEXISTS_WITH	["37108427_fullText_11"]	Colforsin	C0917964
CYP2C19 gene	C1332828	STIMULATES	["34702100_fullText_4"]	Clomipramine	C0009010
DGKA gene	C1414029	compared_with	["34999054_fullText_8"]	Ritanserin	C0085260
GSDMD gene	C1539620	STIMULATES	["34686215_fullText_3"]	Famotidine	C0015620
IMPACT gene	C1825598	STIMULATES	["37059187_fullText_3"]	lorcaserin	C2350948
TRIM32 gene	C1424232	compared_with	["34837227_fullText_4"]	Pimavanserin	C1722267
DRD4 gene	C1333254	INHIBITS	["34577088_fullText_7"]	aaptamine	C0623266
UHMK1 gene	C1540160	compared_with	["34052739_fullText_3"]	Acetazolamide	C0000981
ELF4 gene	C1414377	COEXISTS_WITH	["33315951_fullText_165"]	Dihematoporphyrin Ether	C0058031
AES gene	C1412268	INTERACTS_WITH__INFER__	["34510960_fullText_1"]	tolterodine	C0388753
PTS gene	C1419129	COEXISTS_WITH	["9450907_fullText_6"]	Human Platelet Antigens	C0085355
HADHA gene	C1415460	PRODUCES	["36417780_fullText_6"]	Human Platelet Antigens	C0085355
GCDH gene	C1415009	PRODUCES	["24594605_fullText_50"]	Kainate	C0205812
KARS gene	C1416540	STIMULATES	["34730179_fullText_3"]	Kainate	C0205812
AES gene	C1412268	INTERACTS_WITH__INFER__	["34510960_fullText_1"]	oxybutynin	C0069805
STAT3 gene	C1367307	compared_with	["36300679_fullText_4"]	Bromocriptine	C0006230
CAPG wt Allele	C3540820	COEXISTS_WITH	["36124547_fullText_5"]	human urine	C0885847
GRIK2 gene	C1415294	STIMULATES	["34730179_fullText_7"]	Pilocarpine	C0031923
PROC wt Allele	C3540812	STIMULATES	["37884842_fullText_1"]	Drug Combinations	C0013162
Neomycin resistance gene	C1366752	STIMULATES	["35978221_fullText_7"]	Pirenzepine	C0031978
GNRHR gene	C1415171	COEXISTS_WITH	["34068603_fullText_1"]	Gonadorelin	C0023610
BAX gene	C0812198	INHIBITS	["38176666_fullText_13"]	Thioacetamide	C0039872
DNAJC12 gene	C1539297	INHIBITS	["37156708_fullText_9"]	Homovanillate	C0178681
PRKCE gene	C1418918	STIMULATES	["35216076_fullText_4"]	Bromodeoxyuridine	C0006233
BCL2 gene	C0376515	INHIBITS	["34135573_fullText_9"]	maltose tetrapalmitate	C0065610
CTAA1 gene	C1413785	COEXISTS_WITH	["34125373_fullText_5"]	beta-cyclodextrin tetradecasulfate	C0081758
STRA13 gene	C1420488	STIMULATES	["36652070_fullText_7"]	Amphotericin B	C0002679
SBDS gene	C1426244	STIMULATES	["33845076_fullText_11"]	SR 141716A	C0258459
MAOB gene	C1417002	COEXISTS_WITH	["15461973_fullText_4"]	Phenethylamines	C0031399
LGALS4 gene	C1416832	PRODUCES	["30059502_fullText_226"]	DAPI	C0057142
ZNF77 gene	C1421834	compared_with	["33315951_fullText_62"]	Metformin	C0025598
ZNF77 gene	C1421834	higher_than	["33315951_fullText_62"]	Metformin	C0025598
PEX16 gene	C1418476	COEXISTS_WITH	["9922452_fullText_192"]	promegapoietin	C0678075
PEX19 gene	C1419147	COEXISTS_WITH	["28281558_fullText_13"]	promegapoietin	C0678075
PEX2 gene	C1419149	INHIBITS	["10871277_fullText_2"]	promegapoietin	C0678075
PEX19 gene	C1419147	INTERACTS_WITH	["28281558_fullText_3","28281558_fullText_19","28281558_fullText_63","28281558_fullText_72","21826223_fullText_5"]	promegapoietin	C0678075
PHEX gene	C1418526	STIMULATES	["29773809_fullText_10"]	promegapoietin	C0678075
PEX2 gene	C1419149	INTERACTS_WITH__INFER__	["1673025_fullText_2"]	promegapoietin	C0678075
STX2 gene	C1823140	STIMULATES	["36165531_fullText_7"]	Oats preparation	C0939905
PHEX gene	C1418526	CONVERTS_TO	["31767637_fullText_2"]	Black and White	C1609177
LGALS4 gene	C1416832	COEXISTS_WITH	["26940433_fullText_118"]	Organic solvent product	C0360100
ECE1 gene	C1414244	INHIBITS	["33711514_fullText_8"]	Creatinine	C0010294
GCDH gene	C1415009	COEXISTS_WITH	["21904051_fullText_21","21904051_fullText_99"]	4-dichlorobenzene	C0048243
MVD gene	C1417507	COEXISTS_WITH	["34752844_fullText_5"]	Buspirone	C0006462
SLC22A2 gene	C1420137	INHIBITS	["33998860_fullText_13"]	Product base	C0360301
SLC22A6 gene	C1420141	INHIBITS	["33998860_fullText_13"]	Product base	C0360301
SLCO1B1 gene	C1420131	INHIBITS	["33998860_fullText_13"]	Product base	C0360301
RBFOX3 gene	C3146324	COEXISTS_WITH	["35951651_fullText_3"]	digalactosylglucosylceramide	C0610998
Wild Type	C1883559	INHIBITS	["35944919_fullText_9"]	CGP 55845	C0250350
CPB2 gene	C1413666	INTERACTS_WITH__INFER__	["34229013_fullText_5"]	preladenant	C2698875
PPCS gene	C1826654	COEXISTS_WITH	["32033912_abstract_4"]	human plasma	C0544357
TMEM189 gene	C1970252	COEXISTS_WITH	["36067995_fullText_5"]	desmopressin	C0011701
ASAH1 wt Allele	C3539770	compared_with	["37406364_fullText_4"]	Dopamine Uptake Inhibitors	C0242980
ASAH1 wt Allele	C3539770	same_as	["37406364_fullText_4"]	Dopamine Uptake Inhibitors	C0242980
IMPACT gene	C1825598	STIMULATES	["36184118_fullText_2"]	Histamine H2 Agonists	C0162815
MAOB gene	C1417002	INHIBITS	["37718357_fullText_4"]	Methaqualone	C0025627
MAOB gene	C1417002	compared_with	["35744926_fullText_2"]	Methaqualone	C0025627
AES gene	C1412268	INTERACTS_WITH__INFER__	["34510960_fullText_1"]	darifenacin	C0529351
SLC6A4 gene	C1420214	COEXISTS_WITH	["36164876_fullText_9"]	Rehmannia glutinosa root extract	C2699024
AES gene	C1412268	INTERACTS_WITH__INFER__	["34510960_fullText_1"]	propiverine	C0138666
PRODH gene	C1418945	INHIBITS	["37774432_fullText_2"]	Hydroxamic Acids	C0020314
TPM3 wt Allele	C3273659	INHIBITS	["35304861_fullText_6"]	catharanthine	C0054863
PRRT2 wt Allele	C3539645	INHIBITS	["35657974_fullText_8"]	Tetradecanoylphorbol Acetate	C0039654
LMOD1 gene	C1416886	STIMULATES	["36878398_fullText_7"]	Dutasteride	C0754659
SRSF6 gene	C1419997	compared_with	["35287982_fullText_11"]	Combination Medication	C1516710
CNR1 gene	C1413554	compared_with	["34846548_fullText_8"]	Terpineol	C0348029
PMM2 gene	C1418674	COEXISTS_WITH	["30530630_fullText_91"]	Four-Way	C0720523
PMM2 gene	C1418674	INHIBITS	["32064623_fullText_1"]	Oligosaccharides	C0028959
NGLY1 gene	C1425023	INTERACTS_WITH	["35565658_fullText_147","36528660_fullText_7"]	Oligosaccharides	C0028959
GTS gene	C1415353	COEXISTS_WITH	["36810148_fullText_8","36810148_fullText_11"]	Sodium Tetradecyl Sulfate	C0037556
SLC5A7 gene	C1422359	COEXISTS_WITH	["36810148_fullText_5"]	Sodium Tetradecyl Sulfate	C0037556
ADRA2C gene	C1412261	STIMULATES	["36362437_fullText_6"]	Zalcitabine	C0012132
SNCB gene	C1420278	STIMULATES	["36362437_fullText_6"]	Zalcitabine	C0012132
DBH gene	C1413916	STIMULATES	["36362437_fullText_6"]	Zalcitabine	C0012132
PMM2 gene	C1418674	INHIBITS	["32712172_fullText_1"]	Mannose	C0024742
